ID,Name,Manufacturer,Country,Min. Speed (Knots),Max Speed (Knots),Min. Endurance (Days),Max. Endurance (Days),Min. Endurance (Hours),Max. Endurance (Hours),Max. Length (m),Full D mensions (L×W×H),Endurance Description,Propulsion,Power,Speed Description,Sensors,Main Application,Comms,Sensor Suite,Communication,Crew Requirement,Certifications,MASS Level,Use Cases,Pros,Cons,Spec Sheet (URL),Source URL,Sources
11,ARCIMS,Atlas Elektronik UK,UK,15,40,?,?,?,?,11,11.0×3.2×0.5 m (GRP hull; draft),Not publicly disclosed (diesel engines – multi-day ops possible),Twin diesel engines driving twin waterjets (or props); cathedral (tunnel) hull for stability; on-board generator for mission modules,Diesel (fuel capacity for extended range),40+ knots max (15 kn towing),"X-band navigation radar, EO/IR cameras, AIS; mine-hunting sonar (towed) or sweep sled; launchable UUVs/ROVs","Modular multi-mission naval operations: minesweeping, minehunting (MCM), ASW surveillance, maritime security & force protection",Encrypted LOS radio; SATCOM option for OTH control; autonomous COLREG-compliant navigation system,"Swappable mission modules (mine-sweeping winch & influences, towed sonar, UUV/ROV LARS, ASW active sonar ‘SeaSense’, etc.)","Remote, semi-autonomous, or fully autonomous; autonomous mission planning & execution with human-in-the-loop ",0 (standard unmanned use; can accommodate 2 crew in optional cabin),"COLREGS-compliant autopilot; Naval Class certified (shock-resistant, low magnetic signature)",Level 4 (autonomous navigation & mine-clearing),"Mine countermeasures (sweep/minesweep, hunt & neutralize), port & fleet ASW patrol (towed array sonar), coastal ISR, rapid deployment for explosive ordnance disposal",Pros: High payload (3–4 tonne) modularity for diverse missions; proven in service with multiple navies; high speed and range for rapid response; fully autonomous capabilities reduce risk to personnelarmyrecognition.comarmyrecognition.com.,Cons: Large size (11 m) requires dedicated transport (ship/airlift via container) and support crew; military system with high cost and complexity; reliance on robust comms for remote ops (satellite link needed for OTH control).,ARCIMS Brochureatlas-elektronik.comatlas-elektronik.com,Atlas ARCIMS Pageatlas-elektronik.comatlas-elektronik.com,unmannedsystemstechnology.comnaval-technology.comnaval-technology.com
12,ARCIMS USV (Atlas Remote Combined Influence Minesweeping System),Atlas Elektronik UK,UK/Germany,8,40,0.33,0.33,8.00,8.00,11,11 m × 3.2 m × N/A,~8 hours sweeping per mission (mine ops),Twin diesel waterjets (high-thrust),N/A (~340 kW est.),>40 knots max; ~8 kn tow speed,"Navigation radar, AIS; mine-hunting sonar (towed side-scan or dipping), magnetic/acoustic sweep sled","Mine countermeasures – minesweeping, minehunting & ASW (with towed sonar)",Encrypted line-of-sight radio; optional autonomous relay,"Mine sweeping payload (magnetic/acoustic sweep) or towed sonar, ROVs",Remote control from MCM vessel or autonomous waypoint mode (COLREGS-aware),0 (Uncrewed),Designed to RN standards; COLREGS compliant autonomy,Level 3 (remote with autonomous sweeping routes),Naval mine clearance (sweep and hunt); anti-submarine patrol (with towed array sonar)navalnews.com,High speed & modular – fast transit and reconfiguration; multi-influence sweep and sonar options,Niche role (MCM) with limited applications outside mine warfare; short endurance on battery for extended ops (if not running engine continuously),PDF,Atlas Elektronik ARCIMS page,Atlas specnaval-technology.comnaval-technology.com (official); Naval News (SeaSense ASW)navalnews.com (secondary)
13,Armada A78,Ocean Infinity (built by VARD),USA/Singapore,10,14,21.00,35.00,504.00,840.00,78,78 m × 15 m × 5 m (draft)bair marit me.c m,21–35 days (payload-dependent),Diesel-electric hybrid (DP2),7 MW (2×565 kWh batteries),14 kn max; 8–10 kn cruise ,"Hull sonar, moonpools for ROV/AUV, modular sensors","Offshore survey, IMR (inspection/maintenance/repair), ROV/AUV support","VSAT, LTE, point-to-point radio, satellite link","Multibeam echosounder, INS, ADCP, side-scan, sub-bottom (options)","Redundant comms system, remote control centers",Lean-crewed (initial); future fully uncrewed ,"DNV class (DP2, Ammonia-Ready); IMO SOLAS/MARPOL compliant","3 (Remote, lean crew)",Geophysical survey; geotechnical sampling; subsea intervention; logistics ,Reduced offshore risk and emissions; large 1050 T deck load; autonomous launch/recovery systems ,High cost and complexity; requires shore supervision; not fully autonomous until future upgrades,[Spec Sheet PDF]oceaninfinity.com,Ocean Infinity Armada A78 pageoceaninfinity.comoceaninfinity.com,Ocean Infinity spec sheetoceaninfinity.comoceaninfinity.com; Baird Maritime reviewbairdmaritime.combairdmaritime.com
14,AutoNaut,"AutoNaut Ltd (Seiche, UK)",UK,3,4,90.00,90.00,2160.00,2160.00,3.5,3.5–5.0 m × ~0.8 m × 1.5 m ,~90 days (wave/solar powered),Wave-foil propulsion + optional electric ,Solar PV (175–300 W) & Li-ion batteries ,1–3 kn (wave); up to 4 kn with ,"Weather station, AIS, cameras; modular mast/deck sensors","Long-endurance ocean data collection, metocean & ASW patrol","Iridium / Inmarsat satellite, UHF line-of-sight","Configurable payload (e.g. CTD, sonar, meteorological sensors)",Remote via GUI/joystick locally; global via satcom (internet link)autonautusv.com,Uncrewed (0 crew),– (Operated under small-craft rules; proven in Sea State 9),4,"Oceanographic survey; persistent surveillance (anti-submarine, fisheries)","Zero emissions, silent operation; extreme endurance; portable deploymentbluebird-electric.net",Low speed and limited thrust; small payload capacity (?130 kg); weather/biofouling can impact performance,[AutoNaut Vessels Spec]autonautusv.comautonautusv.com,AutoNaut brochureautonautusv.comgeo-matching.com,AutoNaut specs (Geo-matching)geo-matching.comgeo-matching.com; AutoNaut siteautonautusv.comautonautusv.com
15,Bluebottle,Ocius Technology,Australia,1,6.5,1.00,365.00,24.00,8760.00,5.6,5.6–6.8 m × ~1.2 m × ~1.5 m (draught),"Months (indefinite, limited by biofouling)",Solar + wind sail + wave rudder-flipper (renewable),Solar up to 0.5–1.5 kW; Li-ion battery 14–27 kWh,5–6.5 knots max; 2–4 kn cruise (solar); ~1 kn under sail,"Radar, AIS, cameras; towed sonar array, weather sensors","Persistent maritime surveillance, ASW (towed array), ocean monitoring","4G/LTE, satellite uplink, line-of-sight radio networkingocius.com.au","EO/IR cameras, LiDAR, AIS, wind sensors; optional payload bay modules",Encrypted networked comms; team swarming with “human-on-the-loop” control,Uncrewed (autonomous),– (Operating under experimental trials; delivered to Royal Australian Navy),4,"Long-endurance patrols, mine/maritime surveillance, ASW barrier, environmental data",Unlimited renewable endurance; multi-power (sun/wind/wave); deployable from ramp; proven Sea State 7ocius.com.au,Low speed maneuverability; limited payload power (~100 W avg); reliant on weather for optimal performance,[Bluebottle Tech Specs]naval-technology.comnaval-technology.com,Naval-Tech datasheetnaval-technology.comnaval-technology.com,Naval Technology specsnaval-technology.comnaval-technology.com; Ocius overviewocius.com.auocius.com.au
16,Bluebottle USV (Beth-class),Ocius Technology,Australia,4,6.5,180.00,180.00,4320.00,4320.00,6.8,6.8 m × 1.3 m × 1.6 m (draft),Essentially unlimited (renewable power); >6 months logged,"Triple-hybrid: solar panels, wind sail, wave foil thruster",~500 W continuous (1.5 kW solar max),~6.5 knots max (wind+solar); 2–4 kn on solar alone,"AIS, GPS, weather sensors; optional towed array sonar, hydrophones, cameras","Persistent ocean surveillance, ASW barrier patrol, environmental monitoring","Iridium satellite link, cellular 4G when available; LOS radio",Modular payload bay (dry 350 kg + wet 200 kg) for sensors – e.g. Thales towed sonar array (RASS),Autonomous navigation (solar/wind-powered) with intelligent COLREGS-compliant routing; remote mission updates,0 (Uncrewed),Designed to meet Australian Navy standards; tested Sea State 5+,Level 4 (fully autonomous long-term operation),"Long-endurance patrol (anti-submarine listening, CCTV), border surveillance, marine data gathering (meteorology, water quality)",Virtually unlimited endurance (self-sustaining power); silent operation (no engine noise) ideal for stealthy surveillance,Low speed only ~5 kn; limited to sensor roles (cannot intercept fast targets); small size (vulnerable to extreme storms despite Sea State 7 survival),Datasheet,Ocius Bluebottle page,Naval Tech specsnaval-technology.comnaval-technology.com (secondary); Ocius infoocius.com.aunaval-technology.com (official)
17,Common USV (CUSV),Textron Systems,USA,7,28,0.83,0.83,20.00,20.00,12,12 m × ~3.1 m × ~0.7 m (draft),20+ hours (mission dependent) ,Diesel inboard engine + waterjet,N/A (approx. 370 kW total),~28 knots top (cruise ~7 kn),"Surveillance radar, EO/IR cameras; interchangeable mission payloads (side-scan sonar, mine neutralizer, etc.)",Mine Countermeasures (MCM) and multi-mission littoral operations,"SeaLancet UHF data link, SATCOM-capable","Modular payload bay for sonar, ISR sensors, mine sweep gear",Remote control from ship or shore; autonomous waypoint and COLREG-compliant avoidance,0 (Uncrewed),COLREGS-compliant autonomy,Level 3 (remote operation with autonomous modes),"Mine hunting, mine sweeping, harbor security, ISR, deployable from LCS","Modular & proven – multi-payload capability and U.S. Navy program of record; deployable from ships, with >1,800 hrs testing",Limited endurance (~1 day) and payload compared to larger USVs; requires tether to mothership for long deployments (secondary source),PDF,Textron Systems product page,Textron datasheettextronsystems.comtextronsystems.com (official); Naval Tech specsnaval-technology.comnaval-technology.com (secondary)
18,CUSV (Fleet-class),Textron Systems,USA,10,28,1.00,1.00,24.00,24.00,11.9,11.9 m × 3.1 m × 0.7 m,"24+ hours (up to ~1,200 nmi range) ","Twin diesel engines, waterjets (remote/autonomous)","– (Fuel ~300 gal for 1,200 nmi)",~28 kn max; 10 kn cruise,"Navigation radar, EO/IR camera mast; side-scan sonar; mine neutralizer","Mine countermeasures (sweep/hunt), port security, ISR missions","Secure RF line-of-sight, satellite link (SeaLancet, STANAG 4586)","Modular payload bay (14×6×3.5 ft) for sonar, ISR, weapons",Encrypted C2 via common control station; compliant with NATO STANAG 4586,Uncrewed (remote operator control from ship/shore),NATO STANAG 4586 and JAUS compliant; tested up to Sea State 5,3,Mine warfare (minesweeping & neutralization); ISR patrol; rapid payload deployment for ASuW/ASW,High speed and agile; multi-mission modularity; proven in Navy trials,Limited endurance vs larger vessels; reliant on support ship for long transits; fuel-based emissions,[Textron CUSV PDF]naval-technology.comnaval-technology.com,Textron CUSV pagetextronsystems.comtextronsystems.com,Naval Technology profilenaval-technology.comnaval-technology.com; Textron spec sheettextronsystems.comtextronsystems.com
19,C-Worker 15,L3Harris ASV (UK),UK,10,10,21.00,21.00,3.00,3.00,15,~15 m × ~4 m × – (10 m×4 m open deck) ,21 days (transit ~408 nmi @ 12 kn) ,"Twin diesel engines, hybrid-electric drive (azimuth thrusters)",40 kW dedicated for payload; 10 t deck payload  ,~10 kn cruise; 20+ kn sprint (est.),"X-band radar, cameras; multibeam sonar, ROV LARS on deck",Offshore hydrographic and geophysical survey; ROV/AUV launch & ISR,"Redundant comms: VSAT, radio, 4G; remote/autonomous control ",Custom sensor gondola under hull; slots for 19? racks (electronics),Encrypted remote control via ASView; COLREGs-compliant autonomy,Uncrewed (autonomous); optional personnel in development phase,Built to UK MCA Workboat Code Category 0 (unrestricted),3,"Deepwater survey (windfarm, cable route); MCM & naval ISR; long-endurance research",Large payload (20ft container capable); long endurance; fully autonomous launch/recovery systems,Large size (15 t) limits deployment methods; moderate transit speed; new platform (limited track record),[L3Harris Data Sheet]l3harris.comshephardmedia.com,L3Harris C-Worker pagel3harris.coml3harris.com,L3Harris specsshephardmedia.comshephardmedia.com; Shephard Newsshephardmedia.comshephardmedia.com
20,C-Worker 5,L3Harris (ASV Global),UK,7,10,8.00,8.00,3.00,3.00,5.5,5.5 m × 1.8 m × 3.2 m  mast up),4–8 days (depending on speed) ,57 hp diesel inboard + saildrive,57 hp (~42 kW) diesel,10 knots max (5–7 kn cruise),"Solid-state radar (optional Halo 20+), AIS, GPS; 360° daylight/IR cameras","Hydrographic survey, offshore inspection support","COFDM IP mesh radio (LOS ~5 km), 4G LTE, Wi-Fi","Multi-beam echo sounder, ADCP, sub-bottom profiler possible (up to ~40 kg payload)",Pre-programmed autonomous survey lines; remote joystick control override,0 (Uncrewed),“Safety assured” with COLREG-aware autonomy,Level 3 (remote with autopilot and collision avoidance),"Bathymetric mapping, coastal & estuary survey, pipeline inspection, environmental monitoring","Long endurance for size (up to 7–8 days); proven in multi-national operations (15,000+ km surveyed); shallow draft access",Small payload (~40 kg sensor limit) and slow speed; requires calm seas (operational up to Sea State 3),PDF,L3Harris C-Worker 5 page,L3Harris spec sheetl3harris.coml3harris.com (official); Maritime Mag.magazines.marinelink.com (secondary)
21,Devil Ray T38,MARTAC (Maritime Tactical Systems),USA,25,25,?,?,?,?,11.1,11.1 m × N/A × N/  ,“Burst” missions (high-speed); endurance depends on profile (short at max speed),Dual inboard/outboard engines (diesel or gas),Up to ~2× 745 kW (with gas engines) – mission configurable,70–100+ knots burst (cruise ~25 kn),"Navigational radar, day/night cameras; optional ISR sensors or small weapons payloads","High-speed interdiction, swarming attack/ISR, special ops delivery",Secured RF links for line-of-sight; optional 4G/LTE and satellite relay,"Open architecture for plug-and-play payloads (EW, SIGINT, sonar, etc.)",Remote or autonomous control; advanced “sliding” autonomy from full manual to full auto,0 (Uncrewed),N/A (military-grade electronics; shock-tested),Level 3 (operator-directed with autonomous modes),"Swarm ISR and strike, rapid response interception, mine countermeasures, escort duties",Extremely fast (100 knots) and agile; high payload capacity (1.8 t) for its size; robust redundant design,Limited endurance (high fuel use at speed) and short range; requires refuel/recovery after missions; not armed by default (payload dependent),Spec,MARTAC T38 product page,MARTAC spec sheetmartacsystems.commartacsystems.com (official); ArmyRecognitionnavalnews.com (secondary)
